"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2021-93-6/07/2022","01",1,"SA","Motor Cycle","1994","East","Male","038","SA","HCR ","Full","Not Towing","Straight Ahead","001","5173",,
"2021-93-6/07/2022","02",0,"VIC","Station Wagon","2018","East","Male","051","VIC","C ","Full","Not Towing","U Turn","004","3072",,
"2021-94-6/07/2022","01",0,"SA","Station Wagon","2018","North","Female","027","NSW","C ","Full","Not Towing","Straight Ahead","003","2037",,
"2021-94-6/07/2022","02",0,"SA","Station Wagon","2015","East","Female","026","SA","C ","Full","Not Towing","Left Turn","002","5098",,
"2021-95-6/07/2022","01",0,"SA","Station Wagon","2004","North","Male","051","SA","C ","Full","Not Towing","Left Turn","001","5038",,
"2021-95-6/07/2022","02",0,"SA","Motor Cars - Sedan","1995","East","Male","017","SA","C ","Provisional 1 ","Not Towing","Stopped on Carriageway","002","5037",,
"2021-96-6/07/2022","01",0,"SA","Motor Cars - Sedan","2015","West","Male","023","SA","C ","Full","Not Towing","Straight Ahead","002","5085",,
"2021-96-6/07/2022","02",0,"SA","RIGID TRUCK LGE GE 4.5T","XXXX","West","Male","063","SA","HC","Full","Trailer","Swerving","001","5051",,
"2021-97-6/07/2022","01",0,"SA","Utility","2004","South West","Male","061","SA","C ","Full","Not Towing","Right Turn","001","5023",,
"2021-97-6/07/2022","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2020","South West","Male","025","SA","HR","Full","Not Towing","Right Turn","002","5033",,
"2021-98-6/07/2022","01",0,"SA","Panel Van","2014","North East","Male","027","SA","C ","Full","Not Towing","Straight Ahead","001","5096",,
"2021-98-6/07/2022","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2003","North East","Male","036","SA","MR","Full","Not Towing","Stopped on Carriageway","001","5038",,
"2021-99-6/07/2022","01",0,"SA","RIGID TRUCK LGE GE 4.5T","1990","North West","Male","064","SA","MCR ","Full","Not Towing","Swerving","001","5109",,
"2021-99-6/07/2022","02",0,"SA","Motor Cars - Sedan","2014","North West","Female","049","SA","C ","Full","Not Towing","Straight Ahead","002","5108",,
"2021-100-6/07/2022","01",0,"SA","Motor Cars - Sedan","2013","North West","Female","018","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5010",,
"2021-100-6/07/2022","02",0,"SA","Motor Cars - Sedan","2012","South West","Male","028","SA","C ","Full","Not Towing","Right Turn","001","5069",,
"2021-101-6/07/2022","01",0,"SA","Motor Cars - Sedan","2009","South East","Female","068","SA","C ","Full","Not Towing","Straight Ahead","001","5024",,
"2021-101-6/07/2022","02",0,"SA","Station Wagon","2013","North West","Female","042","SA","C ","Full","Not Towing","Right Turn","004","5022",,
